edrpou,name,short_name,opf,stan,registration,terminated_info
23076709,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЛІЦЕЙ №1"" КАМ'ЯНСЬКОЇ МІСЬКОЇ РАДИ",ЛІЦЕЙ №1,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,15.05.1995; 01.10.2008; 12231200000003905,
23078513,"КОМУНАЛЬНИЙ ЗАКЛАД ОСВІТИ ""КОТОВСЬКА СПЕЦІАЛЬНА ШКОЛА"" ДНІПРОПЕТРОВСЬКОЇ ОБЛАСНОЇ РАДИ""","КЗО ""КОТОВСЬКА СШ"" ДОР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.11.2002; 30.09.2008; 12061200000000561,
23247186,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""МІНОС ПАРТНЕР""","ТОВ ""МІНОС ПАРТНЕР""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,09.10.1996; 21.08.2019; 10381450000012267,
23280315,ГІМНАЗІЯ №6 ГОРІШНЬОПЛАВНІВСЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ,ГІМНАЗІЯ №6,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,10.05.1995; 14.12.2004; 15841200000000049,
23280506,"ОПОРНИЙ ЗАКЛАД ОСВІТИ ""МИРГОРОДСЬКА ГІМНАЗІЯ №3 МИРГОРОДСЬКОЇ МІСЬКОЇ РАДИ ПОЛТАВСЬКОЇ ОБЛАСТІ""","ОЗО ""МИРГОРОДСЬКА ГІМНАЗІЯ №3 МИРГОРОДСЬКОЇ МР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.12.1993; 04.01.2005; 15871200000000041,
23311317,"ГОЛОВНИЙ ЦЕНТР КАПІТАЛЬНОГО БУДІВНИЦТВА, РЕКОНСТРУКЦІЇ ТА ЗАКУПІВЕЛЬ ДЕРЖАВНОЇ ПРИКОРДОННОЇ СЛУЖБИ УКРАЇНИ",,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,09.12.2004; 09.12.2004; 10651200000001421,
23313925,ВІЙСЬКОВА ЧАСТИНА 3039,ВЧ 3039,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,17.04.1995; 25.04.2012; 15221200000022433,26.09.2014; 15221120004022433; Державна реєстрація припинення юридичної особи в результаті її реорганізації
23553919,Кременчуцька гімназія №7 Кременчуцької міської ради Кременчуцького району Полтавської області,Кременчуцька гімназія №7,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,23.12.1993; 17.03.2005; 15851200000000934,
23554037,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №16 КРЕМЕНЧУЦЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ № 16,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.03.2001; 13.03.2005; 15851200000000908,
23568909,БОЯРСЬКА ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ №1 БОЯРСЬКОЇ МІСЬКОЇ РАДИ,Боярська ЗОШ I-III ступенів №1,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,31.01.2003; 03.05.2006; 13391200000003029,
23590955,"КРЕМЕНЕЦЬКИЙ ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ №2 ""ЗОЛОТИЙ КЛЮЧИК"" КОМБІНОВАНОГО ТИПУ ІЗ ГРУПАМИ ЗАГАЛЬНОГО РОЗВИТКУ І З ВАДАМИ ЗОРУ","ЗДО №2 ""ЗОЛОТИЙ КЛЮЧИК""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.09.1996; 06.03.2007; 16401200000001754,
23623471,ЧОРНОМОРСЬКИЙ НАЦІОНАЛЬНИЙ УНІВЕРСИТЕТ ІМЕНІ ПЕТРА МОГИЛИ,ЧНУ ІМ. ПЕТРА МОГИЛИ,"ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,10.05.2002; 09.03.2005; 15221200000002098,
24618963,ЧОРТКІВСЬКИЙ ЛІЦЕЙ № 5 ЧОРТКІВСЬКОЇ МІСЬКОЇ РАДИ ТЕРНОПІЛЬСЬКОЇ ОБЛАСТІ,ЧОРТКІВСЬКИЙ ЛІЦЕЙ № 5,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,24.06.1996; 24.03.2005; 16341200000000106,
24767172,"МАЛЕ ПРИВАТНЕ ПІДПРИЄМСТВО ""ХАДЖИБЕЙ""","МПП ""ХАДЖИБЕЙ""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,31.03.1997; 30.03.2006; 15561200000018535,
24789564,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПРОМАГРОТРЕЙД""","ТОВ ""ПРОМАГРОТРЕЙД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,19.09.1997; 09.09.2005; 15221200000004097,
24827827,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №8 КРЕМЕНЧУЦЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №8,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,13.04.1995; 16.02.2005; 15851200000000787,
24827843,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №12 КРЕМЕНЧУЦЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ ПОЛТАВСЬКОЇ ОБЛАСТІ,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №12,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.03.2001; 16.02.2005; 15851200000000791,
24830485,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №20 КРЕМЕНЧУЦЬКОЇ МІСЬКОЇ РАДИ КРЕМЕНЧУЦЬКОГО РАЙОНУ  ПОЛТАВСЬКОЇ ОБЛАСТІ,КРЕМЕНЧУЦЬКА ГІМНАЗІЯ №20,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,13.04.1995; 17.02.2005; 15851200000000804,
24882690,"ТАРАЩАНСЬКИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ ""ЕРУДИТ"" ТАРАЩАНСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ","ТАРАЩАНСЬКИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ ""ЕРУДИТ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.10.1999; 06.12.2005; 13481200000000142,
24892121,Яготинський ліцей №2 Яготинської міської ради,Яготинський ліцей №2,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,24.03.1995; 11.05.2005; 13511200000000089,
25073081,"ПРИВАТНЕ СІЛЬСЬКОГОСПОДАРСЬКЕ ВИРОБНИЧО-ТОРГОВЕ ПІДПРИЄМСТВО ФІРМА ""КВІЛТ""","ПСВТПФ ""КВІЛТ""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,05.02.1999; 05.06.2006; 11101200000000365,
25293724,БІЛОЦЕРКІВСЬКИЙ ПРИРОДНИЧО-МАТЕМАТИЧНИЙ ЛІЦЕЙ-ГІМНАЗІЯ № 16 ІМ. М.О. КИРИЛЕНКА БІЛОЦЕРКІВСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ,БПМЛГ №16,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.02.2001; 24.02.2007; 13531200000002601,
25299980,КНЯЖИЦЬКИЙ ЛІЦЕЙ БРОВАРСЬКОЇ МІСЬКОЇ РАДИ БРОВАРСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,КНЯЖИЦЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,12.12.1997; 10.02.2005; 13321200000000178,
25315704,БІЛІВСЬКА ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІІ СТУПЕНІВ РІВНЕНСЬКОЇ РАЙОННОЇ РАДИ РІВНЕНСЬКОЇ ОБЛАСТІ,БІЛІВСЬКА ЗОШ І - ІІІ СТ.,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,05.12.1997; 03.11.2005; 16021200000000408,31.07.2020; 16021120010000408; Державна реєстрація припинення юридичної особи в результаті її реорганізації
25315851,ШУБКІВСЬКИЙ ЛІЦЕЙ БІЛОКРИНИЦЬКОЇ СІЛЬСЬКОЇ РАДИ РІВНЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ,ШУБКІВСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.12.1997; 03.11.2005; 16021200000000407,
25317583,КЛЕВАНСЬКИЙ ЛІЦЕЙ №1 КЛЕВАНСЬКОЇ СЕЛИЩНОЇ РАДИ,КЛЕВАНСЬКИЙ ЛІЦЕЙ №1,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,25.12.1997; 26.12.2006; 16021200000000828,
25318743,ГОЛИШІВСЬКИЙ ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ ЯСЛА - САДОК ЗОРЯНСЬКОЇ СІЛЬСЬКОЇ РАДИ РІВНЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ,,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,24.02.1998; 16.10.2006; 16021200000000742,
25439518,РІЧКІВСЬКА ЗАГАЛЬНООСВІТНЯ ШКОЛА І-ІІ СТУПЕНІВ МІЖГІРСЬКОЇ РАЙОННОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,РІЧКІВСЬКА ЗОШ І-ІІ СТ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,19.12.1996; 21.02.2005; 13141200000000098,11.12.2017; 13141120008000098; Державна реєстрація припинення юридичної особи в результаті її реорганізації
25495497,"КОМУНАЛЬНИЙ ЗАКЛАД ""КОВАЛІВСЬКИЙ ЛІЦЕЙ"" НЕМИРІВСЬКОЇ МІСЬКОЇ РАДИ",КОВАЛІВСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,12.11.1992; 21.02.2008; 11601200000000496,
25658410,"Славутицький ліцей ""БезМеж"" Славутицької міської ради Вишгородського району Київської області","Славутицький ліцей ""БезМеж""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.07.1998; 08.02.2005; 13601200000000120,
25658485,"НОВОСІЛКІВСЬКИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ ""ЕРУДИТ"" ЧАБАНІВСЬКОЇ СЕЛИЩНОЇ РАДИ ФАСТІВСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ","НОВОСІЛКІВСЬКИЙ АКАДЕМ. ЛІЦЕЙ ""ЕРУДИТ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,23.02.1998; 25.06.2005; 13391200000001388,
25666728,СВЯТОПЕТРІВСЬКИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ БІЛОГОРОДСЬКОЇ СІЛЬСЬКОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,СВЯТОПЕТРІВСЬКИЙ АКАДЕМІЧНИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.03.2002; 16.03.2007; 13391200000004313,
25680639,КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №12,КМКЛ №12,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,27.10.1998; 09.10.2008; 10701200000034769,03.02.2020; 10701120009034769; Державна реєстрація припинення юридичної особи в результаті її реорганізації
25867728,КРЕМЕНЧУЦЬКИЙ ЛІЦЕЙ З ПОСИЛЕНОЮ ВІЙСЬКОВО-ФІЗИЧНОЮ ПІДГОТОВКОЮ ІМЕНІ ГЕРОЯ УКРАЇНИ ВІТАЛІЯ КОВАЛЯ ПОЛТАВСЬКОЇ ОБЛАСНОЇ РАДИ,ЛІЦЕЙ З ПОСИЛЕНОЮ ВІЙСЬКОВО-ФІЗИЧНОЮ ПІДГОТОВКОЮ ІМЕНІ ГЕРОЯ УКРАЇНИ ВІТАЛІЯ КОВАЛЯ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,05.08.2002; 21.10.2004; 15851200000000326,
25948289,"КОМУНАЛЬНА УСТАНОВА ""ЦЕНТР РЕАБІЛІТАЦІЇ ОСІБ З ВАДАМИ ПСИХОФІЗИЧНОГО РОЗВИТКУ""","КУ ""ЦРОВПР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.12.2005; 29.12.2005; 15561200000016025,
25950978,"КОМУНАЛЬНИЙ ЗАКЛАД ""ПЕТРОПАВЛІВСЬКО-БОРЩАГІВСЬКИЙ ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ ""МАЛЯТКО"" БОРЩАГІВСЬКОЇ СІЛЬСЬКОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ","КЗ ""ЗДО ""МАЛЯТКО""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,24.05.2002; 03.04.2009; 13391200000006037,
26037851,СЛАВУТСЬКИЙ ЛІЦЕЙ СЛАВУТСЬКОЇ МІСЬКОЇ РАДИ,СЛАВУТСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.09.2001; 18.10.2007; 16751200000000306,
26098858,БОРЖАВСЬКА ГІМНАЗІЯ БЕРЕГІВСЬКОЇ МІСЬКОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,БОРЖАВСЬКА ГІМНАЗІЯ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.01.2002; 13.02.2008; 13091200000000407,
26147924,БІЛОЦЕРКІВСЬКИЙ ГЕТЬМАНСЬКИЙ ЛІЦЕЙ-ГІМНАЗІЯ  БІЛОЦЕРКІВСЬКОЇ МІСЬКОЇ РАДИ КИЇВСЬКОЇ ОБЛАСТІ,ГЕТЬМАНСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.02.2002; 19.03.2007; 13531200000002659,
26212030,ВАРІВСЬКИЙ ЛІЦЕЙ ІМЕНІ ФЕРЕНЦА РАКОЦІ ІІ БЕРЕГІВСЬКОЇ МІСЬКОЇ РАДИ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,ВАРІВСЬКИЙ ЛІЦЕЙ ІМ. ФЕРЕНЦА РАКОЦІ ІІ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,14.01.2002; 17.01.2007; 13091200000000283,
26242321,"КОМУНАЛЬНИЙ ЗАКЛАД ""БРАЇЛІВСЬКИЙ ЛІЦЕЙ ІМЕНІ В.О. ЗАБАШТАНСЬКОГО"" ЖМЕРИНСЬКОЇ МІСЬКОЇ ТЕРИТОРІАЛЬНОЇ ГРОМАДИ","КЗ ""БРАЇЛІВСЬКИЙ ЛІЦЕЙ ІМЕНІ В.О. ЗАБАШТАНСЬКОГО"" ЖМЕРИНСЬКОЇ МІСЬКОЇ ТГ","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.06.2002; 15.02.2006; 11511200000000151,
26242508,БРАЇЛІВСЬКА ГІМНАЗІЯ ЖМЕРИНСЬКОЇ МІСЬКОЇ ТЕРИТОРІАЛЬНОЇ ГРОМАДИ,БРАЇЛІВСЬКА ГІМНАЗІЯ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,30.08.2003; 19.10.2007; 11511200000000393,
26243177,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЗАКЛАД ДОШКІЛЬНОЇ ОСВІТИ №77 ВІННИЦЬКОЇ МІСЬКОЇ РАДИ""","КЗ ""ЗДО № 77 ВМР""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,13.06.2002; 03.01.2006; 11741200000003039,
26304973,ПОЛТАВСЬКИЙ НАВЧАЛЬНО-ВИХОВНИЙ КОМПЛЕКС (ЗНЗ - ДНЗ) №16 ПОЛТАВСЬКОЇ МІСЬКОЇ РАДИ ПОЛТАВСЬКОЇ ОБЛАСТІ,НВК №16,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,15.05.1996; 16.12.2004; 15881200000000910,
26312524,ГОРЕНИЦЬКИЙ ЛІЦЕЙ БІЛОГОРОДСЬКОЇ СІЛЬСЬКОЇ РАДИ БУЧАНСЬКОГО РАЙОНУ КИЇВСЬКОЇ ОБЛАСТІ,ГОРЕНИЦЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,27.06.2001; 15.03.2006; 13391200000002881,
26322698,"Заклад дошкільної освіти (ясла-садок) ""СВІТАНОК"" Кам'янецької селищної ради Кропивницького району Кіровоградської області","ЗДО ""СВІТАНОК""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.07.1996; 11.08.2011; 14321200000000379,
26326940,ТЕРЕСВЯНСЬКИЙ  ЛІЦЕЙ ІМЕНІ ВІТАЛІЯ БЕНЧАКА ТЕРЕСВЯНСЬКОЇ СЕЛИЩНОЇ РАДИ ТЯЧІВСЬКОГО РАЙОНУ ЗАКАРПАТСЬКОЇ ОБЛАСТІ,ТЕРЕСВЯНСЬКИЙ ЛІЦЕЙ ІМЕНІ ВІТАЛІЯ БЕНЧАКА,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,29.11.1996; 23.02.2005; 13191200000000223,
26372638,ВОДЯНСЬКИЙ ЛІЦЕЙ ВЕРХНЬОДНІПРОВСЬКОЇ МІСЬКОЇ РАДИ,ВОДЯНСЬКИЙ ЛІЦЕЙ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,28.08.2003; 20.01.2007; 12021200000000324,
26419446,"Комунальний заклад ""Кодимський ліцей"" Кодимської міської ради Подільського району Одеської області","КЗ ""Кодимський ліцей""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,15.07.2003; 07.03.2006; 15371200000000140,
26495341,Комунальна установа ''Центр надання соціальних послуг Городоцької міської ради'',КУ ''ЦНСП Городоцької міської ради'',"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,26.12.2003; 24.01.2006; 16551200000000189,
26514587,СЛАВУТСЬКА ГІМНАЗІЯ №4 СЛАВУТСЬКОЇ МІСЬКОЇ РАДИ,СЛАВУТСЬКА ГІМНАЗІЯ №4,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,22.01.2004; 10.02.2006; 16751200000000181,
30212155,КИЇВСЬКА МІСЬКА КЛІНІЧНА ЛІКАРНЯ №4,КМКЛ №4,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",припинено,30.11.1998; 02.10.2008; 10731200000016379,03.02.2020; 10731120012016379; Державна реєстрація припинення юридичної особи в результаті її реорганізації
30356917,"ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ТЕРНОПІЛЬСЬКИЙ МОЛОКОЗАВОД""","ПРАТ ""ТЕРНОПІЛЬСЬКИЙ МОЛОКОЗАВОД""",ПРИВАТНЕ АКЦІОНЕРНЕ ТОВАРИСТВО,зареєстровано,23.10.2000; 01.10.2004; 16511200000000047,
30636739,"""ПІДПРИЄМСТВО ""РОМАН"" МІЖНАРОДНОЇ ЛІГИ УКРАЇНСЬКИХ ІНВАЛІДІВ-ІНТЕЛЕКТУАЛІВ ""СОФІЯ""","ПІДПРИЄМСТВО ""РОМАН"" МЛУІІ СОФІЯ","ПІДПРИЄМСТВО ОБ'ЄДНАННЯ ГРОМАДЯН (РЕЛІГІЙНОЇ ОРГАНІЗАЦІЇ,ПРОФСПІЛКИ)",зареєстровано,24.11.1999; 27.12.2005; 10741200000013996,
30927520,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""АКВАПЛАСТ""","ТОВ ""АКВАПЛАСТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,06.05.2000; 05.05.2005; 12241200000011330,
30948011,"КОМУНАЛЬНИЙ ЗАКЛАД ""ЛІЦЕЙ ""МАКСИМУМ"" КРОПИВНИЦЬКОЇ МІСЬКОЇ РАДИ""","ЛІЦЕЙ ""МАКСИМУМ""","КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,17.04.2000; 02.02.2005; 14441200000000689,
31259168,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""РАДИВИЛІВМОЛОКО""","ТОВ ""РАДИВИЛІВМОЛОКО""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,27.12.2000; 07.10.2005; 16011200000000148,
31325298,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""СДС-ІНВЕСТ""","ТОВ ""СДС-ІНВЕСТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,17.01.2001; 08.11.2004; 11741200000000522,
31345733,"ПРИВАТНЕ ПІДПРИЄМСТВО ""ГЕРМЕС-1""","ПП ""ГЕРМЕС-1",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,19.02.2001; 10.04.2006; 11101200000000337,
31816235,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""БАДМ""","ТОВ ""БАДМ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,18.01.2002; 08.04.2005; 12241200000010118,
32121458,"КОНЦЕРН ""МІСЬКІ ТЕПЛОВІ МЕРЕЖІ""","КОНЦЕРН ""МТМ""",КОНЦЕРН,зареєстровано,26.07.2002; 10.08.2004; 11031200000000104,
32298653,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ОПТІТРЕЙД""","ТОВ ""ОПТІТРЕЙД""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,10.01.2003; 29.11.2005; 12241200000020267,
32320552,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЕКО-СФЕРА""","ТОВ "" ЕКО-СФЕРА""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,05.03.2003; 27.12.2004; 11531200000000051,
32699979,"СПІЛЬНЕ ПІДПРИЄМСТВО ""КІЦМАНСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ""","СП ""КІЦМАНСЬКИЙ КОМБІНАТ ХЛІБОПРОДУКТІВ""",ПІДПРИЄМСТВО СПОЖИВЧОЇ КООПЕРАЦІЇ,зареєстровано,24.12.2003; 13.03.2008; 10321200000000485,
32704590,"ПРИВАТНЕ ПІДПРИЄМСТВО ""РОСА""","ПП ""РОСА""",ПРИВАТНЕ ПІДПРИЄМСТВО,зареєстровано,14.11.2003; 14.12.2005; 10651200000005062,
32706231,"КОМУНАЛЬНЕ ПІДПРИЄМСТВО ОБОЛОНСЬКОГО РАЙОНУ М.КИЄВА ""ДИТЯЧИЙ КІНОТЕАТР ""КАДР""","КП ""ДК ""КАДР""",КОМУНАЛЬНЕ ПІДПРИЄМСТВО,зареєстровано,26.11.2003; 14.12.2005; 10691200000005913,
33340098,Вільногірський ліцей № 5 Вільногірської міської ради Дніпропетровської області,Вільногірський ліцей № 5 ,"КОМУНАЛЬНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,13.06.1995; 20.04.2005; 12221200000000080,
33551192,"ДЕРЖАВНИЙ ЗАКЛАД ""ЦЕНТР СОЦІАЛЬНО-ПОБУТОВОГО ТА КУЛЬТУРНОГО ЗАБЕЗПЕЧЕННЯ""","ДЗ ""ЦСПКЗ""","ДЕРЖАВНА ОРГАНІЗАЦІЯ (УСТАНОВА, ЗАКЛАД)",зареєстровано,18.05.2005; 18.05.2005; 10741020000007320,
33562670,"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ХОДОРІВСЬКИЙ М'ЯСОКОМБІНАТ""","ТЗОВ ""ХОДОРІВСЬКИЙ М'ЯСОКОМБІНАТ""",ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ,зареєстровано,01.06.2005; 01.06.2005; 14151020000005250,
